仕様が公開された汎用的なOSを搭載したモバイル端末,スマートフォン
Googleが開発したスマートフォン上で動作するOS,Android
Appleが開発したスマートフォン上で動作するOS,iOS
Microsoftが開発したスマートフォン上で動作するOS,Windows Phone OS
測位システムの総称,GNSS
アメリカの測位システム,GPS
ロシアの測位システム,GLONASS
ヨーロッパの測位システム,GALILEO
中国の測位システム,COMPASS
日本の測位システム,みちびき
液晶部分を回転またはスライドさせるタイプの2in1タブレット,コンバーチブル
ネットワークやメモリカードに蓄積された写真データを表示するモバイル端末,デジタルフォトフレーム
地図情報や位置情報等を組み合わせて歩行者や車両運転手を道案内するモバイル端末,カーナビ
角速度を計測可能なセンサ,ジャイロセンサー
運用中に人の操作をほとんど必要とせず、端末とセンタ装置が直接通信処理を行う通信,M2M
身体に装着して利用することを前提としたモバイル端末,ウェアラブル
1組の三原色の点,ピクセル
光の三原色,RGB
インクの三原色,CMY
画素数の縦横比率,アスペクト比
HDTV(ハイビジョンテレビ)画面の比率,16:9
2160x3840ディスプレイの規格,4K
HDMI2.1の最大規格,10K
三原色の各色に対応する有機物が電圧に応じて発光するディスプレイ,有機EL
インチあたりのドット数で解像度を表す単位,dpi
指やペンで触れて操作することが可能な画面,タッチパネル
2本の指を画面につけたまま、その間隔を狭めて行うタッチパネル操作,ピンチイン
パソコンで使用されるキーボード配列,qwerty
レンズで捉えた像をどのくらいのピクセル数の画像ファイルにできるか,画素数
画素数を決める半導体部品である撮像素子,CMOS
デンソーが開発したURLなどを示すために用いられる2次元コード,QRコード
撮影された文字を認識する機能,OCR
8MB~2GBの容量を持つ小型メモリカード,SDカード
14GB~32GBの容量を持つ小型メモリカード、SDカードの上位規格,SD HC
132GBを超える容量を持つ小型メモリカード、SDカードの上位規格,SD XC
SDカード3種類の真ん中のサイズ,mini SD
回線契約情報等を持つICカード,SIMカード
NTTドコモのSIMカード名称ドコモUIM
KDDIのSIMカード名称,au ICカード
ソフトバンクのSIMカード名称,USIM
販売元のキャリアが発行したSIMカードを差し込んだ場合のみ動作すること,SIMロック
販売元以外の発行したSIMカードを差し込んだ場合も動作するこ,SIMフリー
ドコモ、ソフトバンクが採用した3G携帯端末のコネクタ形状,WCDMA
KDDIが採用した3G携帯端末のコネクタ形状,CDMA2000
フォンで用いられる小型USB規格を使用したコネクタ形状,microUSB Type-C
Apple社の製品で用いられるコネクタ形状,Lightning
Bluetoothが用いる周波数帯,2.4GHz
ノイズに強い特性を持ちBluetoothが採用するデータを伝送する電波の周波数を短い! 次々と変えていく方式,FHSS
おサイフケータイを支えるスマートフォンに内蔵されたICチップ,Felica
リーダ/ライタ、FeliCaチップ、スマートフォンの3要素が通信すること,3者間通信
三者間通信を利用したNTTドコモのサービス,トルカ
三者間通信を利用したKDDIのサービス,ケータイクーポン
13.56MHzを使用した近距離無線通信技術の標準仕様,NFC
NFCに含まれる3種の方式,A・B・F
NFCで実現可能な3種の仕組み,カードエミュレーション・リーダエミュレーション・ライタエミュレーション
従来型の赤外線通信の呼称,IrDA
最近使用される赤外線通信の発展系,IrDA Simple
