通話中に回線を専有する通信方式, 回線交換方式
通話中に回線を共有する通信方式, パケット交換方式
一つの基地局がカバーする範囲を細胞に例えた表現, セル
複数の基地局によりエリアが構成されている様子を細胞状に例えた無線通信方式, セルラー方式
電波が届く範囲, カバレッジ
移動に伴って接続先を切り替えること, ハンドオーバー
移動した際に新しい交換局がカバーしているエリア内に自身がいることを通知すること, 位置登録
電波の利用を管理する法律, 電波法
産業・科学・医学用途の周波数帯, ISMバンド
アンテナから真っ直ぐに飛んでくる電波, 直接波
建物で反射した電波, 反射波
建物の裏側に回り込む電波, 回折波
電波が届くまでに通る複数の経路, マルチパス
700-900MHzの周波数帯の通称, プラチナバンド
電波を受信できない場所, 電波不感地帯
電波が届きにくい場所に対し、電波を増幅して中継する装置, リピータ
電波が届きにくい場所に設置する小規模な基地局, 小規模基地局
音声やデータを転送に適した形に変換すること, 変調
変換された音声やデータを元に戻すこと。, 復調
信号をやりとりする回線, チャネル
周波数や使用する時間を分割して複数の回線を確保すること, 多元接続
一定の周波数に分割して複数の回線を確保する方式, FDMA
一定の時間に分割して複数の回線を確保する方式, TDMA
一定の時間に分割して複数の回線を確保する際の分割された時間単位, タイムスロット
第1世代(アナログ)で採用された多元接続方式, FDMA
第2世代(デジタル、GSM、PDC)で採用された多元接続方式, TDMA
特有の符号を使用して複数の回線を確保する方式, CDMA
特有の符号を使用して複数の回線を確保する際に使用する符号, PN符号
一定の周波数に分割して複数の回線を確保する方式を発展させた方式, OFDMA
一定の周波数に分割して複数の回線を確保する方式を発展させた方式で用いる搬送波, サブキャリア
無線LAN、LTE、デジタル放送で採用された多元接続方式, OFDMA
第3世代を示す国際規格, IMT-2000 
第2世代で欧州等で採用された方式, GSM
第2世代で日本で採用された方式, PDC
第3世代で日本でドコモ、ソフトバンクが採用した方式, W-CDMA
第3世代で日本でKDDIが採用した方式, CDMA2000
第3.5世代のW-CDMA系の方式, HSPA
第3.5世代のCDMA2000系の方式, CDMA2000 1x EV-DO
第3.9世代の3GPPで策定された世界標準規格, LTE
第3.9世代のIEEE802.16eで標準化された規格, モバイルWiMAX
第3.9世代のIEEE802.16eで標準化された規格の発展系, WiMAX2
第3.9世代の次世代PHS規格, AXGP
第3.9世代の次世代PHS規格で用いる小さなエリアを敷き詰める方式, マイクロセル方式
IEEE802.11nで採用された送信機と受信機の双方で複数のアンテナを使用する技術, MIMO
IEEE802.11n、IEEE802.11acで採用された複数のチャネルを束ねる技術, チャネルボンディング
IEEE802.11acで採用された送信機と受信機の双方で複数のアンテナを使用する複数ユーザ対応の技術, MU-VIMO
受信側の情報を感知して、端末がある方向にデータを送る技術, ビームフォーミング
携帯電話の通信を無線LANに逃し通信経路の負荷を軽減すること, オフロード
LTE-Advancedで使用する複数のチャネルを束ねて通信を高速化するお話, CA
同一の端末、番号を使用しながら場所や電波状況に応じた最適なネットワークを選べる技術, FMC
基地局から遠い地域にある宅内をカバーするため、ブロードバンド回線を経由して接続するために設置する小規模基地局, フェルトセル
光ファイバーで光信号が通る部分, コア
光ファイバーで光信号が通る部分を覆う屈折率の異なる部分, クラッド
光ファイバーの前提となっている光の性質, 全反射
光ファイバーを終端する装置, ONC
自分が契約する会社と異なる会社の通信設備を使用して通信を行うこと, ローミング
海外でも使用できる端末をそのまま利用すること, 端末ローミング/ 国際ローミング
SIMカードだけを渡航先の国で使われている端末に差し替えて利用すること, SIMカードローミング
